[28.03758008673581 -4.7631610727084235]
[233.73313990543778 -5.349877668395771]
[79.679537605776 -5.335775456543009]
[211.0459189218137 -5.349813951709607]
[-5.182570853872819 6.133248974207498]
[6.3715069934520105 -0.6621016535287829]
[236.0194154531668 -5.349883430773183]
[249.41433438176168 -5.349908258597005]
[208.57585620304144 -5.349808854796858]
[233.73313990543778 -5.349877668395771]
[20.35049239678443 -4.525163116519248]
[68.77110099350602 -5.314458394837989]
[33.9184612314138 -4.987036714256831]
[186.99840070844402 -5.349677919274684]
[14.08686534700003 -3.38868703618215]
[24.618415964643095 -4.392671122543762]
[31.291794666970297 -5.065101792074417]
[68.09427688163939 -5.323275119617529]
[165.88282111460063 -5.349413816136114]
[218.49126519238678 -5.349842409531698]
[106.5175988295684 -5.346329892329005]
[45.87997784436464 -5.23284840574772]
[12.179055146059257 -2.4249446380847104]
[233.73313990543778 -5.349877668395771]
[37.80253496046904 -5.119115374676159]
[233.73313990543778 -5.349877668395771]
[132.7832225587307 -5.348548308034532]
[-0.4364293703967688 2.599562264135207]
[116.89411473150076 -5.34735523005158]
[-0.1265029474611087 3.597157287948593]
[59.82984645408415 -5.309606111241314]
[17.26566771594467 -3.756675410898803]
[11.477126389777586 -3.106839274274599]
[233.73313990543778 -5.349877668395771]
[207.8577354587294 -5.349809823232016]
[-1.2587181599185864 3.222881618994929]
[15.569083444778643 -2.905857825121456]
[32.29843006656745 -4.9820571007970464]
[179.78000233720985 -5.349536214670586]
[233.73313990543778 -5.349877668395771]
[10.875514850122808 -2.1147323849860897]
[222.72341563121995 -5.349851323570958]
[161.00182029287942 -5.349397760386954]
[34.84836164882259 -5.1261500352806975]
[226.43862354090555 -5.3498637027961955]
[219.9665283274484 -5.349842828414891]
[208.61279239228432 -5.349808074845255]
[81.07135392456689 -5.3397732246968665]
[214.38825820455207 -5.349830227056839]
[222.09917592395473 -5.3498501322420395]
[210.26023752628353 -5.349813357073282]
[239.30211059853707 -5.34989210613573]
[32.6850569056015 -5.056223239478882]
[220.06887396638962 -5.349847318721555]
[46.34607665815502 -5.26240513995825]
[45.458015888783954 -5.191252805864083]
[11.712332204697807 -2.596869768275671]
[7.157029228626758 -1.4725065610362227]
[220.44602027520287 -5.349843676761529]
[55.533778128566894 -5.297977884865378]
[214.29212584240523 -5.349826742075282]
[18.318580691197603 -4.25037394081543]
[192.81234016793258 -5.349684299565127]
[240.6116003475732 -5.349894014159493]
[212.8650746067668 -5.34982651356698]
[175.9525302233338 -5.349603085482624]
[240.6116003475732 -5.349894014159493]
[206.61650043828803 -5.349798815210765]
[212.24211869479686 -5.349818359499626]
[-10.743243919099013 8.066412132825242]
[117.41872896846836 -5.346963706635214]
[200.34776810151988 -5.349774000728987]
[233.73313990543778 -5.349877668395771]
[212.24211869479686 -5.349818359499626]
[146.48413628825008 -5.349046069458881]
[179.32892233078869 -5.349553096668155]
[200.92076424110067 -5.349776548541029]
[230.94956841174675 -5.34987174897923]
[-6.817201268481649 6.3829674638296225]
[21.55011802180922 -4.2640563115519665]
[240.6116003475732 -5.349894014159493]
[213.47669394254805 -5.349828089137248]
[41.778451235968106 -5.178767096198839]
[222.09917592395473 -5.3498501322420395]
[203.79365366971663 -5.3497858563748135]
[197.07130260987338 -5.349735419365415]
[26.606989173173123 -4.843855497940869]
[211.7339339537525 -5.349822907593344]
[222.72341563121995 -5.349851323570958]
[-0.1275955150004804 2.6659141940389475]
[150.0309058957576 -5.349117983414236]
[-2.0674519069919968 4.58245280373132]
[215.8874714025858 -5.349831643468732]
[214.22709460848554 -5.3498273543271395]
[25.35075984719966 -4.724581491756649]
[20.610200332341467 -4.255347378217418]
[206.61650043828803 -5.349798815210765]
[240.6116003475732 -5.349894014159493]
[212.93147523879762 -5.349812687349822]
[159.3444140047849 -5.349352177695124]
[133.49657231225402 -5.3485415003234005]
[233.73313990543778 -5.349877668395771]
[5.733694932685706 -0.04426634749857985]
[214.29212584240523 -5.349826742075282]
[236.0194154531668 -5.349883430773183]
[72.50678724651843 -5.324709849909286]
[7.6246272218835385 -1.0841692451783875]
[211.7339339537525 -5.349822907593344]
[2.3153813136359984 2.119906721390679]
[206.61650043828803 -5.349798815210765]
[226.43862354090555 -5.3498637027961955]
[10.228898882801202 -1.4237084361338355]
[217.53786853262093 -5.34984034303133]
[233.73313990543778 -5.349877668395771]
[219.9665283274484 -5.349842828414891]
[229.33756163729552 -5.349868138973625]
[212.24211869479686 -5.349818359499626]
[17.63800818817823 -4.06767814630506]
[201.93094556471235 -5.349780186103182]
[204.85108516928946 -5.34979121475834]
[30.947685528715347 -4.97810770175765]
[214.38825820455207 -5.349830227056839]
[3.718419575561363 1.2275035449551606]
[206.61650043828803 -5.349798815210765]
[227.70447144641994 -5.349858474640518]
[141.12403615392196 -5.348763914346167]
[214.38825820455207 -5.349830227056839]
[-4.518979524659502 6.274649426098893]
[233.73313990543778 -5.349877668395771]
[240.6116003475732 -5.349894014159493]
[234.68311561805217 -5.349881808729617]
[22.234388986905294 -4.323656042897189]
[219.9665283274484 -5.349842828414891]
[189.74161085513688 -5.349687661163118]
[214.38825820455207 -5.349830227056839]
[-8.663412111560275 7.577653974796445]
[198.9781484228518 -5.34977013643177]
[203.70500191372324 -5.349789905341922]
[126.21266188421234 -5.348188748957076]
[208.24962002477218 -5.34980434971669]
